SeniorCitizen,tenure,MonthlyCharges,TotalCharges,cluster
0,3,62.39,7608.86,1
1,9,117.29,8104.48,0
0,24,71.63,8115.88,1
0,54,58.01,8800.75,1
0,5,64.44,633.95,2
1,32,48.44,841.13,0
0,7,117.63,1089.19,2
0,40,31.59,10024.8,1
0,28,88.91,6847.31,1
0,18,64.05,5019.43,2
0,26,33.56,8477.17,1
0,52,77.95,2436.79,2
0,12,78.66,8859.06,1
0,36,36.33,3817.52,2
0,4,65.02,6986.51,1
0,30,109.66,10862.25,1
0,34,29.64,809.22,2
0,14,117.5,10533.25,1
1,39,18.84,8450.38,0
0,20,81.53,4910.82,2
1,68,75.28,1145.78,0
0,2,19.16,1246.45,2
0,3,81.28,6415.1,1
1,46,99.27,5789.43,0
0,46,23.96,5898.64,1
0,15,69.18,3071.85,2
0,72,92.47,1027.65,2
0,28,98.89,8797.85,1
0,72,101.93,2454.99,2
0,19,26.32,7106.37,1
0,5,85.68,4025.94,2
0,14,91.51,6981.64,1
0,72,46.02,8468.14,1
0,11,117.47,2149.9,2
0,72,91.27,170.7,2
0,39,111.54,3084.59,2
1,14,88.8,10574.85,0
0,19,31.27,2030.53,2
1,23,44.43,5217.26,0
0,27,61.18,4119.86,2
0,1,61.72,3418.71,2
0,67,83.85,8045.52,1
0,22,77.08,7944.01,1
0,66,26.75,8585.86,1
0,24,103.74,3744.13,2
0,14,105.04,3964.1,2
1,20,104.83,6028.77,0
0,44,40.43,61.62,2
0,9,50.53,10493.03,1
0,72,93.06,2594.25,2
0,15,59.37,1912.58,2
0,72,63.64,7018.41,1
0,53,78.88,9332.18,1
1,36,21.39,7068.59,0
0,15,21.13,6928.67,1
0,22,24.12,5382.5,2
0,45,40.72,9799.75,1
0,19,118.1,10640.06,1
0,33,28.02,6556.0,1
0,39,108.16,886.08,2
0,17,30.23,1127.71,2
0,19,93.15,4623.15,2
0,5,82.94,5424.72,1
0,7,92.26,7053.49,1
0,58,26.84,10927.03,1
0,45,94.69,7791.85,1
0,0,51.33,9609.08,1
1,50,43.68,10371.56,0
1,0,81.7,2168.48,0
0,15,28.27,3683.57,2
0,1,42.61,7573.99,1
0,72,74.38,7189.34,1
0,72,97.53,4667.05,2
1,23,106.63,9397.83,0
0,12,61.5,10790.76,1
1,17,117.55,4394.41,0
1,35,96.91,3834.62,0
0,6,59.05,3184.26,2
