loyalty_balance,technical_flag
1096,0
2786,0
1819,0
2634,1
665,1
1863,0
2050,0
704,0
2050,0
2523,1
2479,0
1349,0
2935,0
823,1
1400,0
778,0
2220,0
1363,0
1115,0
2523,1
545,1
1311,0
2935,0
2875,1
1310,0
980,0
271,0
1016,0
1819,0
1819,0
2249,0
2220,0
955,0
1925,1
488,1
2183,1
794,0
2359,0
1986,1
2489,0
1254,0
488,1
2935,0
2137,1
907,0
1360,0
2532,0
915,0
2499,0
2743,0
699,1
1455,0
1016,0
1024,0
2479,0
749,1
1440,0
1382,1
3082,1
1831,0
1115,0
1994,1
907,0
1777,1
1636,0
486,0
1941,0
288,0
720,0
861,0
511,1
884,0
1349,0
1770,1
2014,0
2064,0
1243,0
2432,0
601,0
2294,0
1567,0
2127,0
955,0
2765,1
1531,0
2183,0
2535,0
1558,1
1986,0
2667,1
720,0
24,0
0,0
1260,0
-41,0
2262,1
1923,1
2359,0
2754,1
3248,1
1149,0
122,0
1587,1
1089,1
2765,1
-3,1
855,0
511,0
794,0
2875,0
1990,1
488,0
2262,1
2294,0
909,1
1982,0
704,1
2208,1
784,0
685,1
1136,0
980,0
1941,0
1012,0
1759,0
299,1
823,1
693,0
3098,1
1994,1
955,0
1648,0
1024,1
2467,0
2272,0
2046,1
2790,1
2355,0
1018,1
257,1
274,0
1467,0
1079,0
2186,0
821,0
1315,0
2896,0
2888,1
2126,1
848,1
1869,1
1519,0
2523,0
1519,0
1653,0
732,0
0,1
1759,0
2839,0
1240,0
2393,0
1913,0
435,0
732,0
1550,0
693,0
1243,1
1794,1
1653,1
2432,0
823,0
1372,0
2717,1
2839,1
-448,0
1372,0
1360,1
2765,0
2183,0
2126,0
1770,0
1460,0
2220,0
-37,1
1016,0
884,1
1446,1
1595,0
2489,0
1400,0
1330,0
1819,0
1503,0
1284,0
1358,0
-25,0
-449,0
2359,0
1759,0
855,1
2888,1
1941,0
1501,0
2294,0
1379,0
479,1
1851,0
1279,1
2467,0
2220,0
1460,1
699,0
2631,0
685,0
2935,0
2019,0
2667,0
0,1
1567,0
1770,0
2634,0
720,0
1558,0
1337,0
1519,0
0,0
1697,0
1562,0
1809,1
2584,0
1379,0
1031,0
2069,1
2363,0
2875,1
435,1
2705,1
1105,0
2262,0
3098,0
1105,0
1994,0
1024,0
-413,1
1399,1
294,1
0,1
861,0
1382,0
1787,0
2359,0
1467,0
1579,0
741,1
2888,1
2069,1
2046,0
1372,0
1819,1
1420,0
2355,0
1909,0
1531,0
2467,1
784,0
1175,0
1941,0
1994,0
2743,0
1160,0
687,0
1907,1
0,0
848,0
2479,0
2631,0
907,0
1587,0
2712,0
1787,0
2631,0
1787,0
1907,0
2523,1
435,0
1831,0
2667,0
1462,1
2043,0
909,0
1363,0
1376,0
2272,0
1136,1
1419,0
2790,0
1558,0
870,0
1467,0
514,1
24,0
720,0
2479,0
1089,0
1791,0
907,0
1770,0
488,0
2535,0
1060,0
1382,0
2098,0
1519,0
1024,0
1863,0
2434,0
2631,1
2634,0
1653,0
2896,0
907,1
1446,0
511,1
2359,0
704,0
3082,0
1567,0
274,0
1284,0
2705,0
2249,1
2141,1
1031,0
2063,1
665,0
1337,0
1481,0
1024,0
687,0
2535,1
1595,0
732,0
2359,0
2839,0
2095,0
159,0
1770,0
1560,1
1399,0
2363,0
1456,0
1105,1
2434,0
0,0
2765,0
1747,1
907,0
3082,0
1531,0
1560,0
823,0
1560,1
271,0
2658,1
1108,0
2291,0
350,0
491,0
2363,0
1759,0
2702,0
257,0
1980,1
24,1
2249,1
861,0
257,0
1787,1
1024,0
2220,1
861,0
915,0
665,1
1663,0
848,0
2272,0
1115,0
2118,0
749,1
2183,1
1506,0
1812,0
2359,0
2429,0
693,0
1595,0
2545,0
