ts_start,duration_ms,user_id_hash,user_session_hash,language,tier,next_tier,app_section,app_event,choice_action,availability_result,loyalty_balance,purchase_eligibility,api_endpoint,offer_name,offer_value,partner_link,payment_source,action_result,amount_TND,amount_GO,status_result,status_code,technical_flag,internal_error_code,transaction_note,engagement_action,features,banners,client_agent,smartphone_type,source_file,product_name,offer_category,feature_scaled_0,feature_scaled_1,feature_scaled_2,engagement_score
2026-02-23 14:34:58.509,34,1900a6a599602cf99476ace4284202d6,uc039tex8fsv871y,ar,Bronze,Silver,info,getProfileDetails,Retry,,1096,eligible,/info/getProfileDetails,,,,,success,,,OK,200,0,,escalated,,auto_renewal;data_sharing;family_plan,Winter_Promo,OkHttp-library-4.12.0,Oppo A78,SmartSeg_Synthetic_v1.csv,,,-0.49754650069952555,,-0.6004562591894422,548.0
2026-02-23 17:21:11.241,8,d67fe0308dd8d8bb49dda78d476afaf4,3fpoyipk0qtl3q4n,en,Platinum,Platinum,markiNharek,onBundlePaymentInitiate,Buy Now,,2786,not_eligible,/markiNharek/onBundlePaymentInitiate,Flexi_8GO,8 GO,,credit_card,success,44.384,8 GO,OK,200,0,,,Daily Login,loyalty_points,Back_to_School,Retrofit/2.9.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,Flexi_8GO,bundles,1.6577243063822167,1.313527416064055,-0.6004562591894422,943.461
2026-02-23 11:01:24.558,28,f21c27266cfb2bd5a795f85f99fa0024,s2wyjxtjgcedqqzr,fr,Bronze,Silver,gamification,fetchGoals,,,1819,pending,/gamification/fetchGoals,,,,,success,,,OK,200,0,,retry_attempt,Check In,esim;loyalty_points,Back_to_School,OkHttp-library-4.12.0,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,,,0.42450130611710146,,-0.6004562591894422,909.5
2026-02-23 14:59:31.052,409,184d8797ab79331423bc11431d6eaa69,dh8uzb7kr0aymk99,fr,Bronze,Silver,gamification,mfawlawebview,Confirm,pending,2634,eligible,/gamification/mfawlawebview,,,,,success,,,OK,200,1,,discount_applied,Complete Survey,family_plan,Ramadan_2026,Volley/1.2.1,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,1.4638774645618469,,1.6650014220014935,1317.5
2026-02-23 14:15:52.476,72,d894d83e83670f0e4a0b5f123d1fbc91,hhxfgcaqvkizzqy7,ar,Silver,Gold,bundles,cvmBundles,More Info,unavailable,665,not_eligible,/bundles/cvmBundles,,,,,success,,,OK,200,1,,escalated,,auto_renewal;cashback;loyalty_points,Back_to_School,OkHttp-library-4.12.0,iPhone 13,SmartSeg_Synthetic_v1.csv,,,-1.0472043219138634,,1.6650014220014935,333.0
,56,e9a2532e0056e1248016ae4983043f4f,tanzr2muljavb3k3,fr,Bronze,Silver,products,getBundles,Check In,pending,1863,not_eligible,/products/getBundles,Flexi_15GO,15 GO,,,success,49.855,15 GO,OK,200,0,,,,priority_support;cashback;family_plan,GameZone_Launch,axios/1.4.0,Nokia G60,SmartSeg_Synthetic_v1.csv,Flexi_15GO,bundles,0.48061486559141897,1.694567975803673,-0.6004562591894422,637.618
2026-02-23 15:10:08.229,200,501a2499589c262a6d4770a18430077e,c856wpr97y2lofn1,fr,Gold,Platinum,cvm,cvmBundles,Share,,2050,eligible,/cvm/cvmBundles,,,,,success,,,OK,200,0,,flagged_fraud,,,,Volley/1.2.1,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,0.7190974933572686,,-0.6004562591894422,1025.0
2026-02-23 10:39:33.153,54,e29793536daae90e38ded321550df070,y181acjbc2swsozc,ar,Silver,Gold,gamification,mfawlawebview,Subscribe,unavailable,704,eligible,/gamification/mfawlawebview,,,,,failure,,,Not Found,404,0,ERR_MAX_RETRY,,,multi_sim;cashback,GameZone_Launch,OkHttp-library-4.12.0,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,-0.9974673032889001,,-0.6004562591894422,352.0
2026-02-23 16:21:56.245,90,501a2499589c262a6d4770a18430077e,c856wpr97y2lofn1,fr,Gold,Platinum,cvm,getArpuUpsellOffer,Confirm,,2050,eligible,/cvm/getArpuUpsellOffer,,,,,success,,,OK,200,0,,discount_applied,,,GameZone_Launch,Volley/1.2.1,Xiaomi Redmi Note 12,SmartSeg_Synthetic_v1.csv,,,0.7190974933572686,,-0.6004562591894422,1025.0
2026-02-23 14:17:01.266,28,76cfb43b178a7849a32190c377364c9a,pmc3skxlojsyt5ws,fr,Silver,Gold,markiNharek,rechargeInitiatePage,Share,,2523,not_eligible,/markiNharek/rechargeInitiatePage,Flexi_15GO,15 GO,,MainAccount,success,19.629,15 GO,OK,200,1,,vip_fast_track,Check In,loyalty_points,Winter_Promo,OkHttp-library-4.12.0,Vivo Y35,SmartSeg_Synthetic_v1.csv,Flexi_15GO,bundles,1.3223182577061823,-0.41059231640793226,1.6650014220014935,847.876
,16,6cc1c0c96a1fd1b18bd066292e597dab,9419qzpniqfg51bx,ar,Platinum,Platinum,cvm,getOffers,More Info,,2479,eligible,/cvm/getOffers,Flexi_15GO,15 GO,,,success,3.685,15 GO,OK,200,0,,vip_fast_track,,cashback,Referral_Bonus,OkHttp-library-4.12.0,Samsung Galaxy S23,SmartSeg_Synthetic_v1.csv,Flexi_15GO,bundles,1.2662046982318647,-1.5210493963729241,-0.6004562591894422,827.562
2026-02-23 12:43:38.471,31,b46917998bc0c79ff0e21caa4b661c28,1mwnpr424tkb9oi0,fr,Gold,Platinum,bundles,getArpuUpsellOffer,,pending,1349,not_eligible,/bundles/getArpuUpsellOffer,SPIN_WHEEL,Spin Wheel,,,success,,Spin Wheel,OK,200,0,,flagged_fraud,,,GameZone_Launch,OkHttp-library-4.9.1,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,SPIN_WHEEL,gamification,-0.17489353372219965,,-0.6004562591894422,674.5
2026-02-23 15:16:05.331,44,2eea338403b45c0e19373f27bb379557,3e1i1p0bq1s9ryll,ar,Bronze,Silver,markiNharek,getDisponibilite,Subscribe,available,2935,eligible,/markiNharek/getDisponibilite,Flexi_8GO,8 GO,,loyalty,success,25.02,8 GO,OK,200,0,,promo_applied,,auto_renewal;esim,Referral_Bonus,OkHttp-library-4.12.0,Tecno Spark 10,SmartSeg_Synthetic_v1.csv,Flexi_8GO,bundles,1.847745223692974,-0.03512354332142523,-0.6004562591894422,986.673
2026-02-23 12:30:41.796,420,575ab57728cfdc8dc8a6c3bddcee087e,hw06xkxb94pdzp6l,fr,Bronze,Silver,markiNharek,onBundlePaymentInitiate,More Info,,823,pending,/markiNharek/onBundlePaymentInitiate,,,,true,success,,,OK,200,1,,,Refer Friend,cashback;loyalty_points,Referral_Bonus,OkHttp-library-4.9.1,Nokia G60,SmartSeg_Synthetic_v1.csv,,,-0.8457056310742685,,1.6650014220014935,412.0
2026-02-23 11:42:36.041,55,f753ec736282d63382eddf48ca97ad95,ayyosyeoz906gnhh,ar,Silver,Gold,helpcenter,getussdcodes,Claim Gift,partial,1400,not_eligible,/helpcenter/getussdcodes,,,,,success,,,OK,200,0,,manual_review,,,Back_to_School,Retrofit/2.9.0,iPhone 13,SmartSeg_Synthetic_v1.csv,,,-0.10985281705878613,,-0.6004562591894422,700.0
2026-02-23 10:43:44.181,167,3264e605ef70f85daa53a0ebe008e48e,ic0ra6wixaw63dw4,fr,Gold,Platinum,cvm,cvmBundles,Skip,,778,not_eligible,/cvm/cvmBundles,Promo_Ramadan_10GO,10 GO Ramadan,,,success,16.703,10 GO Ramadan,OK,200,0,,retry_attempt,,,Ramadan_2026,OkHttp-library-4.12.0,Samsung Galaxy A54,SmartSeg_Synthetic_v1.csv,Promo_Ramadan_10GO,bundles,-0.9030944987184569,-0.6143804132454616,-0.6004562591894422,264.901
