customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0000000,Male,0,No,No,3,Yes,DSL,No,Yes,No internet,No internet,No,Yes,Month-to-month,Yes,Electronic check,62.39,7608.86,1
0000001,Female,1,No,No,9,Yes,Fiber optic,Yes,No internet,Yes,Yes,No,No internet,Month-to-month,Yes,Bank transfer,117.29,8104.48,1
0000002,Male,0,No,No,24,Yes,Fiber optic,Yes,Yes,No internet,No,No internet,Yes,Two year,Yes,Electronic check,71.63,8115.88,1
0000003,Male,0,Yes,No,54,Yes,No,Yes,No internet,No internet,Yes,No,Yes,One year,Yes,Mailed check,58.01,8800.75,0
0000004,Male,0,Yes,No,5,Yes,Fiber optic,No internet,No internet,Yes,Yes,No,No internet,Month-to-month,No,Credit card,64.44,633.95,1
0000005,Female,1,Yes,No,32,Yes,DSL,No internet,No,Yes,No internet,No,Yes,Month-to-month,Yes,Credit card,48.44,841.13,0
0000006,Male,0,Yes,Yes,7,Yes,Fiber optic,No,No internet,No internet,Yes,No internet,No,Two year,No,Electronic check,117.63,1089.19,1
0000007,Male,0,Yes,No,40,Yes,Fiber optic,Yes,No,Yes,No internet,No internet,Yes,Month-to-month,No,Credit card,31.59,10024.8,0
0000008,Male,0,Yes,No,28,Yes,No,No internet,No internet,No internet,Yes,No internet,No internet,Month-to-month,Yes,Bank transfer,88.91,6847.31,0
0000009,Female,0,Yes,Yes,18,Yes,DSL,Yes,No,Yes,No,No,No internet,Month-to-month,Yes,Bank transfer,64.05,5019.43,1
0000010,Male,0,Yes,Yes,26,Yes,DSL,No,Yes,No internet,No,Yes,Yes,Month-to-month,No,Bank transfer,33.56,8477.17,1
0000011,Male,0,Yes,No,52,Yes,DSL,Yes,No internet,Yes,Yes,No internet,No internet,Month-to-month,No,Credit card,77.95,2436.79,0
0000012,Male,0,No,No,12,Yes,Fiber optic,No internet,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,78.66,8859.06,1
0000013,Male,0,No,Yes,36,Yes,Fiber optic,No internet,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,36.33,3817.52,1
0000014,Female,0,Yes,No,4,Yes,DSL,Yes,No,No internet,No,No internet,No,One year,No,Bank transfer,65.02,6986.51,0
0000015,Male,0,Yes,No,30,Yes,DSL,Yes,No,Yes,No internet,No internet,No internet,One year,Yes,Mailed check,109.66,10862.25,0
0000016,Female,0,Yes,Yes,34,Yes,DSL,Yes,No,Yes,No,Yes,No internet,Month-to-month,Yes,Credit card,29.64,809.22,0
0000017,Female,0,No,Yes,14,Yes,Fiber optic,Yes,Yes,No internet,No internet,No internet,Yes,Two year,Yes,Mailed check,117.5,10533.25,1
0000018,Female,1,Yes,No,39,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,18.84,8450.38,0
0000019,Male,0,No,No,20,Yes,No,Yes,No internet,No,Yes,Yes,No internet,Two year,No,Mailed check,81.53,4910.82,1
0000020,Female,1,Yes,No,68,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card,75.28,1145.78,0
0000021,Male,0,Yes,No,2,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Credit card,19.16,1246.45,0
0000022,Female,0,Yes,Yes,3,Yes,Fiber optic,No internet,Yes,No,Yes,No,No,Two year,Yes,Mailed check,81.28,6415.1,1
0000023,Female,1,Yes,No,46,Yes,No,Yes,No internet,Yes,No internet,No,Yes,Month-to-month,No,Credit card,99.27,5789.43,1
0000024,Female,0,No,No,46,Yes,No,No,Yes,No,No internet,No internet,No internet,Month-to-month,Yes,Mailed check,23.96,5898.64,0
0000025,Female,0,No,No,15,Yes,DSL,Yes,No,Yes,No internet,No internet,No internet,Month-to-month,No,Credit card,69.18,3071.85,1
0000026,Female,0,No,No,72,Yes,DSL,No internet,No internet,No,No,Yes,No internet,Month-to-month,Yes,Mailed check,92.47,1027.65,0
0000027,Female,0,No,Yes,28,Yes,No,No,No internet,No,No internet,No internet,No internet,One year,No,Mailed check,98.89,8797.85,0
0000028,Female,0,No,No,72,No,DSL,Yes,Yes,No internet,Yes,No internet,Yes,Month-to-month,No,Mailed check,101.93,2454.99,0
0000029,Female,0,No,Yes,19,Yes,No,Yes,No internet,Yes,No internet,No internet,Yes,One year,No,Mailed check,26.32,7106.37,1
0000030,Male,0,Yes,Yes,5,Yes,DSL,Yes,No,Yes,No,No internet,No internet,Month-to-month,No,Electronic check,85.68,4025.94,0
0000031,Male,0,Yes,No,14,Yes,Fiber optic,Yes,No,Yes,No internet,Yes,No internet,Month-to-month,Yes,Bank transfer,91.51,6981.64,1
0000032,Female,0,Yes,Yes,72,Yes,No,Yes,Yes,No internet,Yes,No,No,One year,No,Mailed check,46.02,8468.14,0
0000033,Female,0,No,No,11,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,117.47,2149.9,1
0000034,Female,0,Yes,Yes,72,No,DSL,No internet,No,No internet,No,No,No,Month-to-month,Yes,Credit card,91.27,170.7,0
0000035,Male,0,No,Yes,39,Yes,No,Yes,Yes,Yes,No internet,No internet,Yes,Month-to-month,Yes,Electronic check,111.54,3084.59,1
0000036,Female,1,Yes,No,14,Yes,No,Yes,No,No,Yes,No internet,Yes,Month-to-month,Yes,Electronic check,88.8,10574.85,1
0000037,Male,0,No,Yes,19,Yes,Fiber optic,No,Yes,No internet,No,Yes,No internet,Month-to-month,No,Electronic check,31.27,2030.53,1
0000038,Male,1,Yes,Yes,23,Yes,DSL,Yes,Yes,No internet,No,No,No internet,One year,Yes,Electronic check,44.43,5217.26,0
0000039,Male,0,Yes,No,27,Yes,DSL,Yes,Yes,No internet,No,Yes,No,Month-to-month,No,Bank transfer,61.18,4119.86,1
0000040,Male,0,No,Yes,1,Yes,No,No,No internet,Yes,No,No,No internet,Two year,Yes,Electronic check,61.72,3418.71,1
